Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
66500000,0.8575798,0.4342105263157895,131.32894736842104,0.6956479,0.4342105263157895,0.0064920317,0.0782428,1e-05
66510000,0.857644,0.47297297297297297,134.22972972972974,0.72092175,0.47297297297297297,0.0036793258,0.07895547,9.999998e-06
66520000,0.8576557,0.547945205479452,135.34246575342465,0.75243336,0.5342465753424658,0.0024873698,0.076990366,1e-05
66530000,0.85762644,0.5131578947368421,132.14473684210526,0.78062576,0.5131578947368421,0.003980411,0.075858,9.999998e-06
66540000,0.85780805,0.4533333333333333,132.0,0.7316816,0.4666666666666667,0.0049131606,0.07478672,9.999998e-06
66550000,0.85777223,0.5333333333333333,131.42666666666668,0.7563809,0.5333333333333333,0.0026927055,0.07450451,9.999998e-06
66560000,0.8577838,0.527027027027027,133.59459459459458,0.76522166,0.5135135135135135,0.0016433581,0.07763752,9.999999e-06
66570000,0.85766596,0.5205479452054794,135.75342465753425,0.753912,0.5342465753424658,0.0012828911,0.0741954,9.999999e-06
66580000,0.85766464,0.4864864864864865,134.33783783783784,0.77919275,0.4864864864864865,0.0018626864,0.07434204,1e-05
66590000,0.85761523,0.5405405405405406,134.33783783783784,0.78705335,0.527027027027027,0.003499337,0.06982856,9.999999e-06
66600000,0.8579519,0.4868421052631579,131.06578947368422,0.77728295,0.5,0.0018164702,0.08763141,9.999998e-06
66610000,0.8580582,0.5394736842105263,129.5921052631579,0.7589868,0.5394736842105263,0.0023823855,0.07938525,9.999999e-06
66620000,0.85806674,0.5,131.97368421052633,0.78594685,0.5,0.0021119025,0.0687053,9.999998e-06
66630000,0.85790247,0.5066666666666667,132.26666666666668,0.77178985,0.5066666666666667,0.0013630777,0.07634223,1e-05
66640000,0.857807,0.4861111111111111,136.63888888888889,0.763619,0.4722222222222222,0.0015941538,0.07523568,9.999999e-06
66650000,0.8576605,0.5066666666666667,133.86666666666667,0.7791698,0.52,0.00316231,0.0740293,9.999999e-06
66660000,0.8577087,0.5324675324675324,128.0,0.8136845,0.5324675324675324,0.0017207186,0.07441691,1e-05
66670000,0.85758024,0.4868421052631579,132.03947368421052,0.7714754,0.4868421052631579,0.0026929257,0.073107705,9.999999e-06
66680000,0.8578055,0.4305555555555556,137.04166666666666,0.7272601,0.4305555555555556,0.0024153607,0.07514225,9.999999e-06
66690000,0.8577568,0.47297297297297297,133.0810810810811,0.73498195,0.47297297297297297,0.0026946887,0.08214581,9.999999e-06
66700000,0.8576385,0.4666666666666667,132.98666666666668,0.72432685,0.4666666666666667,0.0040884507,0.07779375,9.999998e-06
66710000,0.8574625,0.4605263157894737,129.55263157894737,0.7489973,0.4473684210526316,0.006801712,0.07996388,1e-05
66720000,0.85751593,0.52,132.36,0.7911849,0.52,0.0026130711,0.0786612,9.999998e-06
66730000,0.8572888,0.4166666666666667,138.52777777777777,0.74777097,0.4305555555555556,0.0051741977,0.07025353,9.999998e-06
66740000,0.85717875,0.5064935064935064,128.16883116883116,0.7775289,0.5064935064935064,0.002172688,0.08208362,1e-05
66750000,0.8571346,0.4935064935064935,130.88311688311688,0.7417926,0.4935064935064935,0.004725204,0.076709524,1e-05
66760000,0.8570527,0.4383561643835616,135.0,0.7295741,0.4383561643835616,0.003801749,0.075969964,1e-05
66770000,0.85696405,0.48,132.98666666666668,0.75077826,0.48,0.002047528,0.0774381,9.999998e-06
66780000,0.85710144,0.5185185185185185,122.82716049382717,0.7352936,0.5185185185185185,0.0045160926,0.08103293,9.999999e-06
